name,pub_time,con_finish_time,click_num,dock_enter_num,func_use,main_indice,type
中型通用挂车2,http://www.weain.mil.cn/cgxq/gz/cpsbl/615668.html,2018-12-21,2018-12-27,452,,作为弹药、物资、器材运载平台，分别主要配套中型高机动性战术车辆，遂行全天候/全地域战术战役机动运输保障任务；并可作为专用挂车改装平台。,,all
模态分析配套设备,http://www.weain.mil.cn/cgxq/gz/clqcl/604157.html,2018-12-19,2018-12-28,356,,主要用于配套32通道振动测试和模态分析设备，提供用于模态试验的激振器、传感器和吊装架。,,all
空压机系统易耗品采购,http://www.weain.mil.cn/cgxq/gz/clqcl/604156.html,2018-12-19,2018-12-28,237,,满足压缩空气除油除尘过滤器滤芯更换需求、满足现有阿特拉斯空压机维护保养需求。,,all
防爆电子天平,http://www.weain.mil.cn/cgxq/gz/cpsbl/604155.html,2018-12-19,2018-12-28,209,,主要用于易燃易爆等危险品的称量。,,all
通用型动态参数数据采集系统,http://www.weain.mil.cn/cgxq/gz/cpsbl/604154.html,2018-12-19,2018-12-28,361,,以装备动态参数测试（振动、冲击波、温度）及P-t曲线测试需求为出发点，以现有传感器为基础，构建通用式数据采集系统，用于P-t曲线测试及冲击波、温度、振动等动态参数测试。,,all
铜柱预压机1,http://www.weain.mil.cn/cgxq/gz/cpsbl/604153.html,2018-12-19,2018-12-28,122,,该仪器为力标准机的一种，适用场景为：预压试验用铜柱，标校各类工作级铜柱和检验标准级铜柱，可通过铜柱预压机向更高级别乃至国家压力基准开展溯源校准。,,all
73637部队办公室改造项目,http://www.weain.mil.cn/cgxq/gz/cpsbl/603943.html,2018-12-18,2018-12-21,571,,办公室改造项目，用于正规办公室建设。,,all
蜂窝器制造安装20181218,http://www.weain.mil.cn/cgxq/ky/cpsbl/603942.html,2018-12-18,2018-12-21,249,,蜂窝器设备安装于风洞稳定段上游，是风洞气流整流的关键部件。,,all
某速率光纤信号处理平台（二次发布）,http://www.weain.mil.cn/cgxq/yy/yjjsl/601900.html,2018-12-15,2018-12-22,717,,用于某速率光纤信号处理,,all
边境地区无线电频率协调业务支持系统(二次发布),http://www.weain.mil.cn/cgxq/gz/cpsbl/601899.html,2018-12-15,2018-12-21,286,,用以辅助频管人员便捷高效处理边境地区频率协调函件、做好频率协调会议准备、开展国际频率申请登记、进行涉外协调数据管理等工作,,all
92493部队监控系统建设,http://www.weain.mil.cn/cgxq/wx/cpsbl/600681.html,2018-12-14,2018-12-23,999,,主要建设92493部队营区道路卡口测速、宿舍楼、家属楼等3套监控系统，并配套线路施工、立杆架设等工程。本项目线下对接，详细要求见附件。(与2018年12月15日发布的“92493部队监控系统建设采购公告”为同一项目),,all
装备通用质量特性关键工作项目实施实例,http://www.weain.mil.cn/cgxq/ky/yjjsl/597898.html,2018-12-13,2018-12-21,559,,通过通用质量特性关键工作项目的实施实例研究，解决陆军装备通用质量特性工作项目“工程实施中关键是什么，怎么做、怎么管”的问题，不仅加强主管部门对关键工作项目的管控，保证关键工作项目的实施效果，同时为工业部门在工程实践中实施FMECA、FRACAS、O&MTA等关键工作项目提供操作指导和参考，实现陆军装备通用质量特性关键工作项目的管理落地、技术落地。,,all
专业应用中心数据接收和存储软件,http://www.weain.mil.cn/cgxq/ky/yjjsl/597652.html,2018-12-12,2018-12-19,711,,专业应用中心数据接收和存储软件,,all
20000升运油车采购需求,http://www.weain.mil.cn/cgxq/gz/cpsbl/597530.html,2018-12-11,2018-12-18,997,,主要用于部队战时和平时的燃油运输保障。,,all
移动运输系统研制,http://www.weain.mil.cn/cgxq/ky/cpsbl/597278.html,2018-12-07,2018-12-13,953,,1.移动运输系统用于风洞可移动部段的移动运输。2.联系方式：张诚、冯国涛，0816-2464305，2461034。3.供应商需具备的资质（1）注册资金：5000万元以上（需提供相应证明材料）。（2）百吨及以上气垫运输系统（需包含气垫模块、驱动器、自动控制气路系统）成熟使用业绩3个以上。（需提供相应证明材料）（3）具备麦克纳姆轮车或全向电动轮车驱动器的研制能力，承载能力3t以上的成熟使用业绩3个以上。（需提供相应证明材料）4.发布时间及有效期均为5个工作日。,,all
C型装备操纵稳定性测试,http://www.weain.mil.cn/cgxq/gz/cpsbl/597065.html,2018-12-05,2018-12-11,321,,主要测试转向轻便、转向回正、稳态回转等三项试验内容提供测试设备和条件并进行后期数据处理,,all
C型装备淋雨试验,http://www.weain.mil.cn/cgxq/gz/cpsbl/597064.html,2018-12-05,2018-12-11,284,,提供淋雨试验测试服务,,all
B型装备操纵稳定性测试,http://www.weain.mil.cn/cgxq/gz/cpsbl/597063.html,2018-12-05,2018-12-11,154,,主要测试转向轻便、转向回正、稳态回转等三项试验内容提供测试设备和条件并进行后期数据处理,,all
B型装备淋雨试验,http://www.weain.mil.cn/cgxq/gz/cpsbl/597062.html,2018-12-05,2018-12-11,153,,提供淋雨试验测试服务,,all
A型装备淋雨试验,http://www.weain.mil.cn/cgxq/yy/yjjsl/597061.html,2018-12-05,2018-12-11,449,,提供淋雨试验测试服务,,all
A型装备操纵稳定性测试,http://www.weain.mil.cn/cgxq/gz/cpsbl/597060.html,2018-12-05,2018-12-11,131,,主要测试转向轻便、转向回正、稳态回转等三项试验内容提供测试设备和条件并进行后期数据处理,,all
高原环境模拟测试系统20181129,http://www.weain.mil.cn/cgxq/ky/cpsbl/596531.html,2018-11-30,2018-12-13,981,,用于开展车辆装备在室内模拟高原环境条件下的性能试验，解决目前缺少可控条件的车辆装备野外高原性能试验场地的问题，为定量评价车辆装备的高原环境适应能力提供条件。,,all
重点实验室基金-6142113180102-面向复杂环境的嵌入式智能化图像识别实时信息处理,http://www.weain.mil.cn/cgxq/yy/yjjsl/596040.html,2018-11-27,2018-12-01,2841,,在轻量化无人平台上实现人工智能算法，提高目标识别信息处理的环境适应性,,all
重点实验室基金-6142113180104-复杂场景多模态三维目标成像智能感知方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/596039.html,2018-11-27,2018-12-01,1470,,复杂场景下目标自适应感知与识别，为智能体自主导航、蜂群协同识别提供技术支撑,,all
重点实验室基金-6142113180105高分辨率遥感影像群目标智能检测识别技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/596038.html,2018-11-27,2018-12-01,1398,,用于实现复杂环境下的群体目标高精度识别和信息提取技术研究,,all
重点实验室基金-61429120201-航空碳/碳刹车盘抗氧化涂层的制备技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/596037.html,2018-11-27,2018-01-09,1288,,用于提高航空碳/碳刹车盘耐氧化能力,,all
重点实验室基金-61429120102-高强铝锂合金强度、韧性的组织关联性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/596036.html,2018-11-27,2018-01-09,1102,,为高强铝锂合金研发提供理论依据,,all
重点实验室基金-61429120302-超高温碳基结构材料热防护涂层的界面热应力计算和测试,http://www.weain.mil.cn/cgxq/yy/yjjsl/596035.html,2018-11-27,2018-01-09,845,,为碳基结构材料在超高温条件下的服役应用奠定理论基础,,all
重点实验室基金-6142113180101-材料和涂层毫米波发射率精密测量仪器研制关键技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/596034.html,2018-11-27,2018-12-01,716,,用于高分辨率的被动毫米波成像探测系统，探索一种新的被动毫米波成像方法，解决天线尺寸受限条件下的高分辨率被动成像问题。,,all
重点实验室基金-6142113180103-动态干扰环境下的时敏目标识别技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/596033.html,2018-11-27,2018-12-01,775,,发展成像目标识别新方法，提升对抗环境下目标识别技术抗干扰能力,,all
重点实验室基金-61429120101-高强铝合金复杂锻造过程的组织形成机理及均匀性调控,http://www.weain.mil.cn/cgxq/yy/yjjsl/596032.html,2018-11-27,2018-01-09,796,,为高强铝合金复杂模锻件（如轮毂、起落架支撑接头）研发提供理论基础,,all
重点实验室基金-61420111803-复杂战场环境下常规导弹武器装备体系贡献率评估技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595889.html,2018-11-24,2018-12-05,1744,,以复杂战场环境下导弹武器装备体系反水面目标为背景，开展体系贡献率评估流程、评估方法与评估模型研究，为武器装备体系建设提供支撑。,,all
蜂窝器制造安装,http://www.weain.mil.cn/cgxq/ky/clqcl/595888.html,2018-11-24,2018-11-30,419,,1.蜂窝器设备安装于风洞稳定段上游，是风洞气流整流的关键部件。2.联系方式：冯国涛、梁建亮，0816-2461034，152811589443.供应商需具备的资质（1）营业执照：营业范围包含金属制品机加、焊接等。（2）体系认证：通过ISO9001或GB/T 19001-2015质量管理体系认证，具有完善的加工和检测过程记录。（3）蜂窝器制造关键技术和设备：拥有与需求相符的焊接工艺、自动化焊接及控制设备等。（4）人员队伍：拥有与需求相符的专业队伍，人员具备相关工作经验，长期从业人员规模不少于50人。需提供社保证明。（5）企业净资产规模不低于1000万元人民币，2017年以来年度纯利润不低于100万元人民币。需提供审计报告等。（6）类似工程业绩和工艺方案。,,all
扭矩检定装置（二次）,http://www.weain.mil.cn/cgxq/gz/cpsbl/595739.html,2018-11-23,2018-11-29,414,,扭矩检定装置,,all
激光功率测量设备（二次）,http://www.weain.mil.cn/cgxq/gz/cpsbl/595738.html,2018-11-23,2018-12-02,382,,在试验室测量光电探测系统输出的连续激光功率及脉冲激光测距机微能量。,,all
短期频率稳定度检定装置,http://www.weain.mil.cn/cgxq/gz/yjjsl/595737.html,2018-11-23,2018-11-29,272,,检定各种信号源的短期频率稳定度,,all
机房视频监控系统,http://www.weain.mil.cn/cgxq/gz/cpsbl/595736.html,2018-11-23,2018-11-27,609,,对机房进行全方位监测,,all
地雷及未爆弹便携式探测器,http://www.weain.mil.cn/cgxq/ky/yjjsl/595735.html,2018-11-23,2018-12-01,598,,探测各种地雷和未爆弹药,,all
光学检校配套仪器,http://www.weain.mil.cn/cgxq/gz/cpsbl/595734.html,2018-11-23,2018-11-29,302,,保障光测设备检定的完备性，兼顾光测设备维修、检测使用。,,all
5Hz运输颠簸台,http://www.weain.mil.cn/cgxq/gz/cpsbl/595733.html,2018-11-23,2018-11-29,219,,"主要用于模拟步兵榴弹散装运输试验环境,考核被试弹药经历散装运输后的适应性。",,all
重点实验室基金－61425020704－毫米波稀布阵列优化设计技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595517.html,2018-11-21,2018-11-25,1933,,优化稀布阵列设计，对大角度范围扫描时副瓣电平进行优化控制。,,all
重点实验室基金－61425020503－高温环境太赫兹频段等离子体传输及防热材料特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595516.html,2018-11-21,2018-11-25,1163,,太赫兹波与高温等离子体作用机理与防热材料特性变化分子级探测研究。,,all
重点实验室基金－61425020305－大空域多目标快速搜索与截获跟踪技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595515.html,2018-11-21,2018-11-25,979,,研究杂波中动平台相控阵大空域多目标快速搜索、高概率截获与稳定跟踪算法提升复杂环境中多目标探测性能。,,all
重点实验室基金－61425020201－毫米波时频参数捷变雷达智能化抗有源干扰技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595514.html,2018-11-21,2018-11-25,913,,基于智能化算法原理，研究毫米波时频参数捷变雷达抗有源干扰算法,,all
重点实验室基金－61425020304－基于高速运动平台的MIMO正交波形设计技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595513.html,2018-11-21,2018-11-25,820,,研究适用于高速运动平台的MIMO正交波形，提高正交波形对高速平台的适用性，推动MIMO在高速平台的应用。,,all
重点实验室基金－61425020205－基于环境感知和知识辅助的智能探测信号处理技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595512.html,2018-11-21,2018-11-25,817,,基于知识辅助波形优化和在线学习的智能处理增强雷达对杂波环境的自适应感知适应能力。,,all
重点实验室基金－61425020206－多模探测信息融合技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595511.html,2018-11-21,2018-11-25,700,,通过多模雷达及雷达/光学等多源异构信息处理提升对目标的检测识别与定位跟踪性能。,,all
重点实验室基金-61421010218-基于行动方案敏捷评估的行动构想设计方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595510.html,2018-11-21,2018-12-01,762,,研究行动方案的一种敏捷评估方法，为指挥员及时获得所提作战构想的定量评估结果，提高指挥员的作战行动指挥控制能力。,,all
重点实验室基金-61421010418-基于群智感知的广域数据按需获取技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595509.html,2018-11-21,2018-12-01,786,,针对面向任务的军事数据动态实时获取需求，围绕军事数据涵盖范围广、分布空间跨度大等现实问题，开展基于群体智能的数据按需框架、异构感知资源一体化组织管理、数据驱动的感知资源自适应调度、基于时空关联性的数据智能采集等关键理论和方法，实现面向高并发高动态任务的军事数据高效采集汇总。,,all
重点实验室基金－61425020604－基于多维度信号处理的雷达前视成像技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595508.html,2018-11-21,2018-11-25,661,,多维前视高分辨成像，同距离分辨单元多目标参数估计，超采样间隔目标定位算法等技术研究。,,all
重点实验室基金－61425020703－太赫兹高功率固态源技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595507.html,2018-11-21,2018-11-25,547,,太赫兹雷达系统收发前端对固态源的迫切需求。,,all
重点实验室基金-61421010118-基于强化学习的网络信息体系要素体系贡献率评估研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595506.html,2018-11-21,2018-12-01,549,,"针对目前网络信息体系要素体系贡献率评估中存在模型参数难确定、评估结果不权威等问题,研究网络信息体系要素体系贡献率的概念内涵,提出基于强化学习的体系贡献率评估阶段及方法步骤,重点突破基于网络信息体系要素性能指标自动构建强化学习模型、基于小数据样本强化训练模型参数以及基于模型参数构建体系贡献率计算模型等关键技术,并以典型背景进行实验分析，为网络信息体系要素规划计划、立项论证以及体系集成提供依据。",,all
重点实验室基金-61421010318-基于强化学习的博弈对抗技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595505.html,2018-11-21,2018-12-01,563,,"针对智能化指挥决策中小样本数据、不完美信息高动态博弈问题,开展基于强化学习的博弈对抗技术研究,突破高动态战场环境状态完备性表征技术、多层次体系化战法战术策略输出空间构建等技术,形成强化学习与策略选择的快速完备响应机制,有效降低00DA环决策时间,辅助指挥员应对复杂多变的战场,为实现智能化指挥决策进行理论建模和技术支持。",,all
重点实验室基金-61421010518-信息系统故障诊断与健康管理技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595504.html,2018-11-21,2018-12-01,633,,针对信息系统故障诊断准确率低、故障预测难度大等问题，开展信息服务异常检测技术、基于故障诊断模型的智能分析技术、基于运维数据的信息系统健康管理与故障预测技术研究，实现异常的自动化发现、故障快速定位以及系统健康状态的快速评估。,,all
重点实验室基金－61425020705－可重构共形相控阵天线技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595503.html,2018-11-21,2018-11-25,585,,球面共形天线优化设计、极化/方向图可重构天线单元技术，头罩联合相位补偿等技术。,,all
零备件合作研制,http://www.weain.mil.cn/cgxq/yy/yjjsl/595425.html,2018-11-20,2019-11-19,674,,零备件研制。,,all
某速率光纤信号处理平台,http://www.weain.mil.cn/cgxq/yy/yjjsl/595424.html,2018-11-20,2018-11-28,292,,用于某速率光纤信号处理,,all
锥面活门研磨工艺方案研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595423.html,2018-11-20,2019-05-19,166,,提升锥面活门的研磨效果，实现效率高、研磨质量稳定。,,all
门式布氏硬度机采购,http://www.weain.mil.cn/cgxq/yy/yjjsl/595422.html,2018-11-20,2018-12-19,80,,金属材料与大型工件的布氏硬度检测。,,all
可编程器件破译技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595421.html,2018-11-20,2019-05-19,202,,用于可编程元器件时序逻辑、引脚信号等输入输出信号状态的破译。,,all
电容采购,http://www.weain.mil.cn/cgxq/yy/yjjsl/595420.html,2018-11-20,2019-05-19,291,,固体电解质钽电解电容器，用于各种电路中隔离、滤波、旁路、移相、积分、微分等功能。,,all
显微硬度计采购,http://www.weain.mil.cn/cgxq/yy/yjjsl/595419.html,2018-11-20,2018-12-10,91,,金属材料或零件的显微硬度、渗层深度测量。,,all
航天系统仿真重点实验室基金-6142002401- 仿真可信度智能融合评估方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595418.html,2018-11-20,2018-11-25,417,,为具有多元相关输出/多评估数据集/多人评估特征的复杂仿真模型可信度评估，提高仿真评估精度及智能化自动化水平。预算：50万,,all
大尺寸机械部件变形修复,http://www.weain.mil.cn/cgxq/yy/yjjsl/595417.html,2018-11-20,2019-11-19,188,,针对尺寸较大的机械部件出现变形后，对其的变形量进行测量，并进行校正、修复。,,all
磨粒流技术在航空发动机修理中的应用研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595416.html,2018-11-20,2019-11-19,173,,"解决实际生产应用中精密零件的加工难题，提高精密零件的加工工艺性和产品安全可靠性；
针对不同零件需要不同的磨料，且磨料清除困难等技术难题。",,all
飞机结构油箱快速除胶技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595415.html,2018-11-20,2019-11-19,139,,实现油箱快速除胶，缩短修理周期。,,all
电路板逆向测绘及修理技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595414.html,2018-11-20,2019-11-19,118,,提升电路板修理能力。,,all
航天系统仿真重点实验室基金-6142002302- 基于事件演化的智能化制胜规则寻优方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595413.html,2018-11-20,2018-11-25,285,,用于体系对抗仿真中，支撑攻防博弈作战运用方法评估与寻优研究。预算：50万,,all
激光加工技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595412.html,2018-11-20,2019-02-19,274,,激光清洗（例如压胶件表面残余胶料）、异型孔激光加工、激光冲击强化、水助激光加工等工艺的研究和应用；管道激光清洗。,,all
PCB电路板深修能力技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595411.html,2018-11-20,2019-05-19,130,,用于PCB多层印制板电路表面外观检查、静态测量及在线测量，PCB板上器件无损伤拆卸。,,all
航天系统仿真重点实验室基金-6142002303- 高效高沉浸感战场环境生成和驱动方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595410.html,2018-11-20,2018-11-25,359,,用于战术级训练仿真中快速构建高沉浸感、高逼真度战场态势，提供统一的高效高沉浸感战场环境生成、驱动方法和实现技术途径。预算：50万,,all
探测器采购,http://www.weain.mil.cn/cgxq/yy/yjjsl/595409.html,2018-11-20,2019-02-19,291,,实现光电转换和信号处理功能，用于产生截获所需目标信息。,,all
飞机金属材料（碳钢、合金钢、铝合金）的防腐技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595408.html,2018-11-20,2019-01-19,271,,针对留机结构件、留机紧固件、留机管帽、留机管接头等难以恢复表面防护层的问题，对机件进行防腐处理。,,all
以太网通信协议、1553B通信协议研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595407.html,2018-11-20,2019-11-19,245,,了解以太网通信协议内容，1553B总线数据传输方式，为数据加载记录器等设备的维修奠定基础。,,all
激光清洗技术应用,http://www.weain.mil.cn/cgxq/yy/yjjsl/595406.html,2018-11-20,2019-01-19,338,,合作开展激光清洗技术在飞机原位腐蚀及锈蚀物清除、局部除漆等方面的研究与应用。,,all
车辆发动机曲轴修理技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595405.html,2018-11-20,2019-11-19,98,,合作修理方案、技术规范、修理工艺、装配测试，着重解决抱轴、烧瓦等故障引起的曲轴损伤。,,all
微弧氧化防腐涂层技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595404.html,2018-11-20,2019-11-19,197,,可调叶片防腐蚀。,,all
多功能显示器液晶显示模块修理,http://www.weain.mil.cn/cgxq/yy/yjjsl/595403.html,2018-11-20,2019-11-19,156,,合作开展多功能显示器液晶显示模块修理与验证工作。,,all
航天系统仿真重点实验室基金-6142002301-基于语义理解的智能化多元战场环境自动生成方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595402.html,2018-11-20,2018-11-25,315,,用于实现环境建模中实体几何信息与语义信息的快速自动融合，为构建高逼真度增强现实训练环境提供方法和技术支撑。预算：50万,,all
重点实验室基金-61422190108- 新型多电飞控能源系统体制和新概念飞行器控制体制,http://www.weain.mil.cn/cgxq/yy/yjjsl/595195.html,2018-11-17,2018-12-01,1543,,针对新型飞机多电化的飞控系统能源体制和新概念飞行器的控制体制，开展基础与应用技术的探索研究，包括：飞控动力与作动系统的构型自动设计技术、功率电传作动技术、高压液压能源技术、大功率飞控能源系统的动力与热管理技术、新概念变体机翼的控制架构研究、新原理分布式推进飞行器的控制架构研究等。成果形式：提交相关研究报告、仿真验证报告和设计仿真软件。研究周期：2年。联系人：张晶，010-82316873,,all
61424131812-短波大动态全频段接收技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595194.html,2018-11-17,2018-12-03,504,,"研究目标：  本课题从一个新的角度来解决短波宽带性能接收问题，主要研究通过新材料新技术对短波段大干扰信号进行陷波抑制，从而提升短波高灵敏度接收下的动态性能，促进短波接收技术的发展。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：孙亦平，联系方式：13688117210",,all
重点实验室基金-61424090107-基于面中心网格FDTD的非均匀等离子体目标电磁建模新方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595193.html,2018-11-17,2018-11-30,692,,研究基于低色散误差面中心网格的时域有限差分方法，减少传统时域有限差分方法在计算非均匀等离子体电磁散射时的数值色散误差，非均匀等离子体RCS建模误差优于3dB。,,all
61424131807-基于直接定位的运动目标位置和速度联合快速估计算法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595192.html,2018-11-17,2018-12-03,503,,"研究目标：针对运动目标直接定位中位置和速度六维搜索运算量巨大的问题，研究高效、快速的搜索策略和联合估计算法，进而提升直接定位法的实用价值。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：杨宇翔，联系方式：15982038267",,all
61424131806-基于全相位谱的宽带脉冲信号频率和相位测量技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595191.html,2018-11-17,2018-12-03,454,,"研究目标：重点开展基于全相位数字谱的宽带脉冲信号频率和相位高精度估计方法研究，给出基于全相位数字谱的频率和相位测量理论方法、算法流程，并进行仿真验证和外场实测数据验证。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：赵培焱，联系方式：028-69595732/18215661467",,all
重点实验室基金-61424090408-多功能阵列天线散射特征分析与控制技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595190.html,2018-11-17,2018-11-30,575,,针对飞行器等武器平台上天线系统的隐身化、多功能、少量化发展趋势，开拓天线宽带与低散射分析与设计新思路，解决工作频带大于十五倍频的双极化隐身阵列天线特征控制难题，实现50G内存单机上过万单元规模阵列天线电磁辐射与散射的快速精准计算、以及工作频带内的宽角低副瓣覆盖，并且天线带内单、双、多站散射水平抑制达到一个数量级。,,all
重点实验室基金-61421110302-网络安全防御系统智能模型探测技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595189.html,2018-11-17,2018-11-30,696,,用于智能模型探测分析。,,all
重点实验室基金-61422190209- 高海况水面垂直发生无人机控制技术技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595188.html,2018-11-17,2018-12-01,509,,研究高海况扰动下海面漂浮态无人机的动力特性，降低海面扰动对垂直发射的影响，开展水面摇摆态垂直发射无人机控制新概念研究，为无人机总体设计提供支持。主要指标：适应海况等级不小于3级；无人机重量不小于3kg；可实现360°全向转弯与多向发射；垂直发射转弯过程不大于3s；发射过程姿态控制误差不大于1°。成果形式：提交相关研究报告、仿真验证报告和仿真软件。研究周期：2年。联系人：张晶，010-82316873,,all
重点实验室基金-61424090102-准周期结构目标电磁散射建模新方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595187.html,2018-11-17,2018-11-30,425,,针对准周期结构目标的精确电磁建模和不确定度分析的需求，开展基于数值方法的准周期结构目标电磁建模新方法的研究，以降低电磁仿真的计算复杂度，提升建模效率。重点突破面向准周期结构中的多尺度结构、介质体等的电磁建模关键技术，开发工程化计算代码，形成对实际准周期结构目标的快速电磁建模与分析能力，RCS建模误差优于3dB。,,all
重点实验室基金-61422190308- 先进飞行器综合决策、管理与控制,http://www.weain.mil.cn/cgxq/yy/yjjsl/595186.html,2018-11-17,2018-12-01,453,,以先进有人飞机、先进无人机为对象，以信息共享为基础，研究面向飞机多子系统的综合决策、管理与控制技术，面向多有人机/无人机系统协同控制与管理技术，研究软件使能控制及飞控系统快速实现等应用基础技术，突破其基础理论及工程应用中的关键问题，实现先进飞机的综合化、智能化和网络化。成果形式：提交相关研究报告、仿真验证报告和仿真软件。研究周期：2年。联系人：张晶，010-82316873,,all
重点实验室基金-61421110401-针对云平台的安全漏洞分析与渗透测试技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595185.html,2018-11-17,2018-11-30,544,,用于云平台安全渗透性测试。,,all
重点实验室基金-61422190408- 飞行器抗干扰导航与控制方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/595184.html,2018-11-17,2018-12-01,383,,围绕武器系统精确打击、高分辨率对地观测、新一代飞机与大飞机等国家重大需求，瞄准飞行器控制技术的发展前沿，开展飞行器智能感知与抗干扰控制技术领域的基础理论、关键技术和重大应用的自主创新研究，提出飞行器仿生感知与系统集成技术、飞行器仿生感知与抗干扰控制一体化技术等。成果形式：提交相关研究报告、仿真验证报告和仿真软件。研究周期：2年。联系人：张晶，010-82316873,,all
